"","Position","Posted","Min.Salary.Lbs","Max.Salary.Lbs","Salary.Period","Location","Contract","ad_poster","ad_poster_type","job_Knowledge_Domain"
"247","Product Manager AI, Robotics ",2021-03-19,55000,65000,"per annum","Hertfordshire","Permanent, full-time","Understanding Recruitment","Recruitment consultancy","Information Technology"
"248","Data Scientis ",2021-03-16,NA,NA,NA,"London","Contract, full-time","X4 Group","Recruitment consultancy","Engineering"
"249","Customer Analytics Manager Remote ",2021-02-22,45000,50000,"per annum","London","Permanent, full-time","Amber Resourcing","Direct employer","Information Technology"
"250","Senior Scientist ",2021-02-24,NA,NA,NA,"London","Permanent, full-time","DG Partnership Ltd","Recruitment consultancy","Health And Social"
"251","Data Analyst  ",2021-03-15,NA,NA,NA,"London","Permanent, full-time","Ultimate Banking Ltd","Recruitment consultancy","Information Technology"
"252","Head of Machine Learning ",2021-02-21,95000,1e+05,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"253","Data Engineer ",2021-02-27,500,600,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"254","Data Science Consultant ",2021-03-17,65000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"255","Data Science Consultant ",2021-02-20,75000,80000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"256","Software Engineer AWS, AI ",2021-03-21,75000,85000,"per annum","Camden","Permanent, full-time","Understanding Recruitment","Recruitment consultancy","Information Technology"
"257","Senior Scientist ",2021-02-16,38084,NA,NA,"London","Contract, full-time","SRG Lunar","Direct employer","Health And Social"
"258","In Vitro Research Scientist Drug Discovery ",2021-03-10,NA,NA,NA,"Hatfield","Contract, full-time","CK GROUP","Recruitment consultancy","Health And Social"
"259","Head of Machine Learning ",2021-03-01,90000,1e+05,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"260","Development Scientist ",2021-03-17,NA,NA,NA,"Weybridge","Contract, full-time","CK GROUP","Recruitment consultancy","Information Technology"
"261","Quantitative Researcher ",2021-03-13,90000,140000,"per annum","London","Permanent, full-time","Amber Resourcing","Direct employer","Information Technology"
"262","Lead Data Science Consultant ",2021-03-01,85000,1e+05,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Education"
"263","Lead Machine Learning Trainer ",2021-03-12,85000,1e+05,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Education"
"264","Data Engineer ",2021-02-19,NA,NA,NA,"London","Permanent, full-time","TEC PARTNERS LIMITED","Recruitment consultancy","Information Technology"
"265","Machine Learning Researcher Remote ",2021-03-03,70000,90000,"per annum","London","Permanent, full-time","Amber Resourcing","Direct employer","Information Technology"
"266","Head of Decision Science ",2021-03-17,115000,120000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"267","Interim Senior Data Engineer ",2021-03-10,500,550,"per day","London","Contract, full-time","Finatal","Recruitment consultancy","Information Technology"
"268","Infectious Disease Modeller ",2021-03-01,350,400,"per day","London","Contract, full-time","Circle Recruitment","Recruitment consultancy","Information Technology"
"269","Python Software Engineer - 6 Month Contract ",2021-02-18,459,625,"per day","London","Contract, full-time","Circle Recruitment","Recruitment consultancy","Information Technology"
"270","Python Software Engineer - 6 Month Contract ",2021-02-19,459,625,"per day","London","Contract, full-time","Circle Recruitment","Recruitment consultancy","Information Technology"
"271","Data Science Manager - Betting ",2021-03-17,60000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"272","Lead Machine Learning Teacher ",2021-03-17,85000,1e+05,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Education"
"273","Lead Machine Learning Consultant ",2021-03-05,85000,1e+05,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Education"
"274","Senior Analytics Consultant ",2021-03-08,50000,60000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"275","Customer Data Analyst ",2021-03-08,35000,45000,"per annum","London","Permanent, full-time","Zachary Daniels","Recruitment consultancy","Information Technology"
"276","Marketing Scientist ",2021-03-18,29000,34000,"per annum","London","Permanent, full-time","Hasson Associates Recruitment Ltd","Recruitment consultancy","Marketing And Media"
"277","Computer Vision Research Scientist ",2021-02-22,45000,85000,"per annum","London","Permanent, full-time","Modis","Recruitment consultancy","Marketing And Media"
"278","Data Science Senior Manager ",2021-03-09,60000,70000,"per annum","London","Permanent, full-time","Aspire","Recruitment consultancy","Marketing And Media"
"279","Machine Learning Engineer ",2021-02-19,450,500,"per day","London","Contract, full-time","Circle Recruitment","Recruitment consultancy","Information Technology"
"280","Data Analyst ",2021-03-19,23500,NA,NA,"Camden","Permanent, full-time","Multiverse","Direct employer","Information Technology"
"281","Interim Senior Data Engineer ",2021-02-18,500,550,"per day","London","Contract, full-time","Finatal","Recruitment consultancy","Information Technology"
"282","Senior Product Analyst ",2021-02-18,60000,80000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"283","Biomedical Scientist - Microbiology ",2021-02-17,18,21,"per hour","Harrow","Temporary, full-time","Ritz Recruitment Ltd","Recruitment consultancy","Health And Social"
"284","Data Science Manager ",2021-03-07,60000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"285","Bank Data Analyst ",2021-03-23,26000,NA,NA,"Canary Wharf","Permanent, full-time","Multiverse","Direct employer","Information Technology"
"286","Bank Resource Management Apprentice ",2021-03-23,26000,NA,NA,"Canary Wharf","Permanent, full-time","Multiverse","Direct employer","Information Technology"
"287","BI Developer/ Analyst  ",2021-03-10,50000,70000,"per annum","London","Permanent, full-time","N-tier Selection Ltd","Recruitment consultancy","Information Technology"
"288","Data Scientist- Systematic Quant Fund ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"289","Assay Development Scientist ",2021-02-15,NA,NA,NA,"Stevenage","Permanent, full-time","Kelly Services","Direct employer","Information Technology"
"290","Scientist - Cell Biology ",2021-02-24,37000,50000,"per annum","London","Permanent, full-time","ADLIB","Recruitment consultancy","Engineering"
"291","Marketing Analyst ",2021-02-17,350,400,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"292","Chemist / Analytical Chemist/ Materials Scientist (contract)         ",2021-02-10,28000,29000,"per annum","South East England","Contract, full-time","Hudson Shribman","Recruitment consultancy","Engineering"
"293","Marketing Analyst ",2021-03-18,450,550,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"294","Data Engineer ",2021-03-09,35000,45000,"per annum","London","Permanent, full-time","Aspire","Recruitment consultancy","Information Technology"
"295","Full Stack Developer Apprentice ",2021-03-23,26000,NA,NA,"Canary Wharf","Permanent, full-time","Multiverse","Direct employer","Information Technology"
"296","Senior Analyst ",2021-03-08,400,500,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"297","Brokerage Data Analyst ",2021-03-23,26000,NA,NA,"Canary Wharf","Permanent, full-time","Multiverse","Direct employer","Marketing And Media"
"298","Equity Research Associate Client Analytics ",2021-03-23,26000,NA,NA,"Canary Wharf","Permanent, full-time","Multiverse","Direct employer","Information Technology"
"299","Data Analyst Apprentice ",2021-03-12,22000,NA,NA,"Camden","Permanent, full-time","Multiverse","Direct employer","Information Technology"
"300","Client Brokerage Data Analyst ",2021-03-23,26000,NA,NA,"Canary Wharf","Permanent, full-time","Multiverse","Direct employer","Engineering"
"301","Research Scientist - Biotransformation  ",2021-03-03,30000,38000,"per annum","South East England","Permanent, full-time","VRS Recruitment","Recruitment consultancy","Health And Social"
"302","DevOps Engineer - ML ",2021-03-06,600,650,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"303","Trading Data Analyst ",2021-03-23,26000,NA,NA,"Canary Wharf","Permanent, full-time","Multiverse","Direct employer","Financial Services"
"304","Chemist /Materials Scientist   ",2021-03-17,39000,45000,"per annum","South East England","Contract, full-time","Hudson Shribman","Recruitment consultancy","Engineering"
"305","Research Scientist - Fermentation ",2021-02-16,28000,39000,"per annum","South East England","Contract, full-time","VRS Recruitment","Recruitment consultancy","Engineering"
"306","Senior PV Scientist - Contract - Outside IR35 ",2021-02-25,NA,NA,NA,"Welwyn","Contract, full-time","CK GROUP","Recruitment consultancy","Health And Social"
"307","Python Quant Developer ",2021-03-19,70000,95000,"per annum","London","Permanent, full-time","Hays Specialist Recruitment Limited","Recruitment consultancy","Information Technology"
"308","MLOps Engineer ",2021-03-13,600,650,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"309","Bioinformatics Lead - Drug Discovery ",2021-02-26,55000,80000,"per annum","London","Permanent, full-time","Hays Specialist Recruitment Limited","Recruitment consultancy","Information Technology"
"310","Sensory Scientist ",2021-02-19,30000,36000,"per annum","Beaconsfield","Permanent, full-time","i2i Recruitment Consultancy","Recruitment consultancy","Hospitality And Catering"
"311","Data Engineer - Data Science ",2021-03-01,35000,50000,"per annum","London","Permanent, full-time","Wilmington Plc","Direct employer","Information Technology"
"312","Campaign Marketing Manager ",2021-03-17,50000,55000,"per annum","Islington","Permanent, full-time","Post Recruitment Ltd","Recruitment consultancy","Marketing And Media"
"313","Quant Analyst / Data Scientist- Leading Trading Firm ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"314","Data Analyst/Scientist Investment Team - Alternative data - Asset Manager - London ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"315","Senior Data Engineer ",2021-02-15,80000,1e+05,"per annum","London","Permanent, full-time","Birch & James Associates Limited","Recruitment consultancy","Information Technology"
"316","Machine Learning Engineer NLP - Contract ",2021-03-20,600,650,"per day","Covent Garden","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"317","Lead Data Science Consultant ",2021-02-17,90000,120000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Education"
"318","Data Engineer - ML Analytics ",2021-03-22,65000,70000,"per annum","London","Permanent, full-time","Understanding Recruitment","Recruitment consultancy","Information Technology"
"319","Lead Python Data Engineer - Global Investment Manager, London/Remote ",2021-03-02,70000,90000,"per annum","London","Permanent, full-time","CoTalent Group TTD","Recruitment consultancy","Information Technology"
"320","Head of Analytics and Insights ",2021-03-05,95000,105000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"321","Senior Data Engineer ",2021-03-14,75000,80000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"322","Senior Data Engineer ",2021-03-23,80000,105000,"per annum","London","Permanent, full-time","Ringstone Recruitment","Recruitment consultancy","Information Technology"
"323","Software Engineer - OUTSIDE IR35 ",2021-02-13,400,500,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"324","Data Science Manager ",2021-03-23,NA,NA,NA,"London","Permanent, full-time","Goodman Masson","Recruitment consultancy","Information Technology"
"325","Marketing Analyst ",2021-03-05,40000,NA,NA,"London","Permanent, full-time","Harvey Nash","Recruitment consultancy","Marketing And Media"
"326","Senior Product Manager - Data & Analytics ",2021-03-12,NA,NA,NA,"London","Permanent, full-time","Paysafe Group","Direct employer","Information Technology"
"327","Senior Software DevOps Engineer - Investment Banking Data Analytics Group ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"328","Machine Learning Ops Engineer ",2021-02-19,NA,NA,NA,"Wembley Central","Permanent, full-time","Reed Specialist Recruitment","Recruitment consultancy","Information Technology"
"329","Senior Data Engineer - London - Up To £100K - 100% Fully Remote  ",2021-02-10,80000,1e+05,"per annum","London","Permanent, full-time","FAIRMONT RECRUITMENT LIMITED ","Recruitment consultancy","Information Technology"
"330","Data Engineer ",2021-03-09,55000,NA,NA,"London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"331","Senior Data Engineer ",2021-02-18,50000,85000,"per annum","London","Permanent, full-time","ADLIB","Recruitment consultancy","Information Technology"
"332","Data Engineer ",2021-03-15,60000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Engineering"
"333","Azure Data Engineer ",2021-03-10,60000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Engineering"
